,Genome,Laptime
0,"[0.5478380388195923, 3.3960047674070473, 65.50158109282441, 7, 1, 0.34062925665243615]",581.0899999996166
1,"[0.020172755311197665, 2.634365953884113, 7.280679982107017, 7, 1, 0.024966724846149035]",630.6099999995715
2,"[0.157400736338273, 1.3359616858867893, 78.42941538987876, 1, 3, 0.026460103199828944]",658.2899999995464
3,"[0.747427412852926, 0.21768696980115765, 32.94765572921065, 8, 15, 0.29521218258447757]",690.7399999995168
4,"[0.3205088451614213, 1.1638544138079334, 5.952246638199284, 11, 14, 0.7206231841228636]",761.7799999994522
5,"[0.5478380388195923, 3.3960047674070473, 7.280679982107017, 7, 1, 0.024966724846149035]",623.2599999995782
6,"[0.020172755311197665, 2.634365953884113, 78.42941538987876, 7, 3, 0.024966724846149035]",652.3599999995517
7,"[0.3205088451614213, 1.1638544138079334, 32.94765572921065, 8, 15, 0.29521218258447757]",659.0799999995456
8,"[0.020172755311197665, 2.634365953884113, 32.94765572921065, 8, 3, 0.026460103199828944]",679.579999999527
9,"[0.3205088451614213, 3.3960047674070473, 5.952246638199284, 8, 1, 0.7206231841228636]",621.5899999995797
